"case_ID","pay_attn_to_politics","vote_in_2012","vote_choice_2012","attn_to_news","registered_to_vote","party_of_registration","vote_in_primary","vote_choice_primary","vote_for_president","vote_choice_president","approve_of_congress","country_on_track","approve_of_president","feeling_dem_cand","feeling_rep_cand","feeling_prev_pres","feeling_bill_clinton","feeling_dem_party","feeling_rep_party","have_health_insurance","favor_2010_health_care_law","liberal.cons_self","current_econ","party_better_economy","importance_of_guns","policy_immigrants","build_wall","speak_english","syrian_refugees","gov_waste_.tax_money","global_warming","death_penalty","obama_angry","obama_proud","religion_important","attend_church","attend_church_often","born_again_christian","age","married","education","hispanic","white","black.af.amer","amer.indian.alaskan","asian","hawaiian.pac.islander.mentioned","native_status_parents","grandparents_born_outside_US"
266,"1. Always","1. Yes, voted","2. Mitt Romney","1. A great deal","2. Not registered",NA,"2. No, didn't vote in primary or caucus",NA,"1. Yes","2. Donald Trump","2. Disapprove","2. Wrong track","2. Disapprove",0,85,15,60,15,85,"2. Oppose","2. Oppose","6. Conservative","4. Bad","2. Republicans","1. Extremely important","1. Make all unauthorized immigrants felons and send them back to their home country.","1. Favor","1. Very important","2. Oppose","1. Waste a lot","2. Probably hasn't been happening","1. Favor","4. Most of the time","1. Never","1. Important","1. Yes","2. Almost every week","1. Yes",80,"1. Married","2. High school graduate","2. No","1. Selected","0. Not selected","0. Not selected","0. Not selected","0. Not selected","1. Both parents born in the U.S.","0. None"
267,"4. Some of the time","1. Yes, voted","2. Mitt Romney",NA,"1. Registered","2. Republican party","2. No, didn't vote in primary or caucus",NA,"1. Yes","1. Hillary Clinton","2. Disapprove","2. Wrong track","2. Disapprove",100,0,0,85,NA,70,"2. Oppose","2. Oppose",NA,"5. Very bad","3. Not much difference between them","3. Somewhat important","1. Make all unauthorized immigrants felons and send them back to their home country.","1. Favor","1. Very important","2. Oppose","1. Waste a lot","1. Has probably been happening","2. Oppose","3. About half the time","2. Some of the time","2. Not important","2. No",NA,NA,84,"2. Widowed","1. Some high school or less","2. No","1. Selected","0. Not selected","0. Not selected","0. Not selected","0. Not selected","2. One parent born in the U.S.","4. All"
268,"3. About half the time","2. No, didn't vote",NA,"4. A little","2. Not registered",NA,"2. No, didn't vote in primary or caucus",NA,"1. Yes","1. Hillary Clinton","1. Approve","1. Right direction","1. Approve",70,60,70,85,85,50,"1. Favor","1. Favor","3. Slightly liberal","3. Neither good nor bad","1. Democrats","2. Very important","3. Allow to remain and eventually qualify for U.S. citizenship, if they meet","2. Oppose","2. Somewhat important","2. Oppose","2. Waste some","1. Has probably been happening","1. Favor","1. Never","2. Some of the time","1. Important","2. No",NA,"1. Yes",22,"5. Never married","2. High school graduate","2. No","1. Selected","0. Not selected","0. Not selected","0. Not selected","0. Not selected","1. Both parents born in the U.S.","0. None"
269,"4. Some of the time","1. Yes, voted","1. Barack Obama","4. A little","1. Registered","3. None or 'independent'","2. No, didn't vote in primary or caucus",NA,"1. Yes","1. Hillary Clinton","1. Approve","2. Wrong track","1. Approve",60,0,100,60,85,15,"1. Favor","1. Favor",NA,"3. Neither good nor bad","1. Democrats","1. Extremely important","3. Allow to remain and eventually qualify for U.S. citizenship, if they meet","2. Oppose","1. Very important","3. Neither favor nor oppose","1. Waste a lot","1. Has probably been happening","1. Favor","1. Never","5. Always","2. Not important","1. Yes","4. A few times a year","2. No",26,"5. Never married","4. Associate degree","2. No","0. Not selected","1. Selected","0. Not selected","0. Not selected","0. Not selected","1. Both parents born in the U.S.","0. None"
270,"4. Some of the time","2. No, didn't vote",NA,"3. A moderate amount","1. Registered",NA,"2. No, didn't vote in primary or caucus",NA,"2. No",NA,"2. Disapprove","2. Wrong track","2. Disapprove",50,0,60,0,50,50,"2. Oppose","2. Oppose",NA,"5. Very bad","3. Not much difference between them","1. Extremely important","1. Make all unauthorized immigrants felons and send them back to their home country.","2. Oppose","1. Very important","2. Oppose","1. Waste a lot","1. Has probably been happening","2. Oppose","2. Some of the time","1. Never","1. Important","1. Yes","4. A few times a year","2. No",64,"3. Divorced","1. Some high school or less","2. No","1. Selected","0. Not selected","0. Not selected","0. Not selected","0. Not selected","1. Both parents born in the U.S.","1. One"
271,"4. Some of the time","2. No, didn't vote",NA,"4. A little","2. Not registered",NA,"2. No, didn't vote in primary or caucus",NA,"1. Yes","3. Gary Johnson","1. Approve","1. Right direction","1. Approve",15,0,85,15,85,30,"2. Oppose","2. Oppose","6. Conservative","4. Bad","3. Not much difference between them","1. Extremely important","3. Allow to remain and eventually qualify for U.S. citizenship, if they meet","2. Oppose","2. Somewhat important","1. Favor","1. Waste a lot","1. Has probably been happening","2. Oppose","1. Never","3. About half the time","1. Important","2. No",NA,"2. No",23,"5. Never married","2. High school graduate","1. Yes","1. Selected","0. Not selected","0. Not selected","0. Not selected","0. Not selected","3. Both parents born in another country","4. All"
272,"2. Most of the time","1. Yes, voted","2. Mitt Romney","3. A moderate amount","1. Registered","1. Democratic party","1. Yes, voted in primary or caucus","4. Donald Trump","1. Yes","2. Donald Trump","1. Approve","2. Wrong track","2. Disapprove",50,100,0,60,100,50,"1. Favor","1. Favor",NA,"2. Good","3. Not much difference between them","1. Extremely important","1. Make all unauthorized immigrants felons and send them back to their home country.","3. Neither favor nor oppose","1. Very important","2. Oppose","1. Waste a lot","1. Has probably been happening","1. Favor","2. Some of the time","1. Never","1. Important","1. Yes","2. Almost every week",NA,38,"1. Married","2. High school graduate","2. No","1. Selected","0. Not selected","0. Not selected","0. Not selected","0. Not selected","1. Both parents born in the U.S.","0. None"
273,"1. Always","2. No, didn't vote",NA,"3. A moderate amount","1. Registered","2. Republican party","1. Yes, voted in primary or caucus","4. Donald Trump","1. Yes","2. Donald Trump","2. Disapprove","2. Wrong track","2. Disapprove",0,100,0,0,0,100,"2. Oppose","2. Oppose",NA,"4. Bad","2. Republicans","2. Very important","3. Allow to remain and eventually qualify for U.S. citizenship, if they meet","1. Favor","1. Very important","2. Oppose","1. Waste a lot","1. Has probably been happening","1. Favor","4. Most of the time","1. Never","1. Important","1. Yes","1. Every week","2. No",77,"1. Married","5. Bachelor's degree","2. No","1. Selected","0. Not selected","0. Not selected","0. Not selected","0. Not selected","3. Both parents born in another country","4. All"
274,"3. About half the time","2. No, didn't vote",NA,"4. A little","1. Registered",NA,"2. No, didn't vote in primary or caucus",NA,"1. Yes","1. Hillary Clinton","1. Approve","1. Right direction","1. Approve",70,15,85,60,85,60,"1. Favor","1. Favor","4. Moderate, middle of the road","1. Very good","1. Democrats","2. Very important","3. Allow to remain and eventually qualify for U.S. citizenship, if they meet","1. Favor","1. Very important","1. Favor","2. Waste some","1. Has probably been happening","2. Oppose","1. Never","4. Most of the time","1. Important","2. No",NA,NA,19,"5. Never married","3. Some college","2. No","0. Not selected","1. Selected","0. Not selected","0. Not selected","0. Not selected","1. Both parents born in the U.S.","0. None"
275,"4. Some of the time","1. Yes, voted","1. Barack Obama","3. A moderate amount","1. Registered","1. Democratic party","1. Yes, voted in primary or caucus","2. Bernie Sanders","1. Yes","1. Hillary Clinton","2. Disapprove","2. Wrong track","1. Approve",85,0,100,85,70,15,"1. Favor","1. Favor","2. Liberal","3. Neither good nor bad","3. Not much difference between them","1. Extremely important","3. Allow to remain and eventually qualify for U.S. citizenship, if they meet","2. Oppose","3. Not very important","1. Favor","2. Waste some","1. Has probably been happening","2. Oppose","1. Never","5. Always","1. Important","1. Yes","4. A few times a year","2. No",90,"2. Widowed","2. High school graduate","2. No","1. Selected","0. Not selected","0. Not selected","0. Not selected","0. Not selected","1. Both parents born in the U.S.","0. None"
276,"3. About half the time","2. No, didn't vote",NA,"3. A moderate amount","1. Registered","1. Democratic party","2. No, didn't vote in primary or caucus",NA,"2. No",NA,"2. Disapprove","2. Wrong track","1. Approve",60,0,70,60,85,15,"2. Oppose","2. Oppose","4. Moderate, middle of the road","3. Neither good nor bad","1. Democrats","1. Extremely important","3. Allow to remain and eventually qualify for U.S. citizenship, if they meet","2. Oppose","2. Somewhat important","3. Neither favor nor oppose","1. Waste a lot","1. Has probably been happening","1. Favor","2. Some of the time","3. About half the time","1. Important","2. No",NA,"1. Yes",31,"5. Never married","3. Some college","2. No","1. Selected","0. Not selected","0. Not selected","0. Not selected","0. Not selected","2. One parent born in the U.S.","0. None"
277,"1. Always","1. Yes, voted","2. Mitt Romney","1. A great deal","1. Registered",NA,"1. Yes, voted in primary or caucus","7. Marco Rubio","1. Yes","2. Donald Trump","2. Disapprove","2. Wrong track","2. Disapprove",0,70,0,0,0,60,"2. Oppose","2. Oppose","7. Extremely conservative","4. Bad","2. Republicans","1. Extremely important","3. Allow to remain and eventually qualify for U.S. citizenship, if they meet","1. Favor","1. Very important","2. Oppose","1. Waste a lot","2. Probably hasn't been happening","1. Favor","5. Always","1. Never","1. Important","1. Yes","1. Every week",NA,59,"1. Married","4. Associate degree","2. No","1. Selected","0. Not selected","0. Not selected","0. Not selected","0. Not selected","1. Both parents born in the U.S.","1. One"
278,"1. Always","2. No, didn't vote",NA,"2. A lot","2. Not registered",NA,"2. No, didn't vote in primary or caucus",NA,NA,NA,"2. Disapprove","2. Wrong track","2. Disapprove",50,70,50,100,40,60,"1. Favor","1. Favor","6. Conservative","3. Neither good nor bad","2. Republicans","3. Somewhat important","3. Allow to remain and eventually qualify for U.S. citizenship, if they meet","1. Favor","1. Very important","2. Oppose","1. Waste a lot","1. Has probably been happening","1. Favor","2. Some of the time","2. Some of the time","2. Not important","2. No",NA,"2. No",45,"5. Never married","1. Some high school or less","2. No","1. Selected","0. Not selected","1. Selected","0. Not selected","0. Not selected","1. Both parents born in the U.S.","0. None"
279,"2. Most of the time","2. No, didn't vote",NA,"3. A moderate amount","1. Registered","3. None or 'independent'","2. No, didn't vote in primary or caucus",NA,"1. Yes",NA,"2. Disapprove","2. Wrong track",NA,50,40,50,40,50,50,"1. Favor","1. Favor","4. Moderate, middle of the road","3. Neither good nor bad","3. Not much difference between them","3. Somewhat important","3. Allow to remain and eventually qualify for U.S. citizenship, if they meet","2. Oppose","2. Somewhat important","3. Neither favor nor oppose","2. Waste some","1. Has probably been happening",NA,"2. Some of the time","2. Some of the time","1. Important","1. Yes","3. Once or twice a month","1. Yes",66,"5. Never married","5. Bachelor's degree","2. No","1. Selected","0. Not selected","0. Not selected","0. Not selected","0. Not selected","1. Both parents born in the U.S.","1. One"
280,"3. About half the time","2. No, didn't vote",NA,"3. A moderate amount","1. Registered","2. Republican party","2. No, didn't vote in primary or caucus",NA,"1. Yes","2. Donald Trump",NA,"2. Wrong track","2. Disapprove",0,50,15,0,30,50,"1. Favor","1. Favor","6. Conservative","3. Neither good nor bad","2. Republicans","2. Very important","3. Allow to remain and eventually qualify for U.S. citizenship, if they meet","1. Favor","1. Very important","2. Oppose","1. Waste a lot","1. Has probably been happening","2. Oppose","4. Most of the time","1. Never","1. Important","1. Yes","1. Every week","1. Yes",23,"1. Married","3. Some college","2. No","1. Selected","0. Not selected","0. Not selected","0. Not selected","0. Not selected","1. Both parents born in the U.S.","0. None"
281,"2. Most of the time","1. Yes, voted","1. Barack Obama","2. A lot","1. Registered","1. Democratic party","2. No, didn't vote in primary or caucus",NA,"1. Yes","1. Hillary Clinton","2. Disapprove","1. Right direction","1. Approve",70,15,70,60,50,50,"3. Neither favor nor oppose","3. Neither favor nor oppose","4. Moderate, middle of the road","2. Good","3. Not much difference between them","2. Very important","3. Allow to remain and eventually qualify for U.S. citizenship, if they meet","2. Oppose","2. Somewhat important","1. Favor","2. Waste some","1. Has probably been happening","2. Oppose","2. Some of the time","3. About half the time","2. Not important","2. No",NA,"2. No",26,"5. Never married","6. Master's degree","1. Yes","0. Not selected","0. Not selected","0. Not selected","0. Not selected","0. Not selected","3. Both parents born in another country","4. All"
282,"1. Always","1. Yes, voted","2. Mitt Romney","2. A lot","1. Registered",NA,"1. Yes, voted in primary or caucus","5. Ted Cruz","1. Yes","2. Donald Trump","2. Disapprove","2. Wrong track","2. Disapprove",0,85,0,0,15,85,"2. Oppose","2. Oppose","6. Conservative","4. Bad","2. Republicans","1. Extremely important","3. Allow to remain and eventually qualify for U.S. citizenship, if they meet","1. Favor","1. Very important","3. Neither favor nor oppose","1. Waste a lot","1. Has probably been happening","1. Favor","4. Most of the time","1. Never","1. Important","2. No",NA,"1. Yes",59,"1. Married","2. High school graduate","2. No","1. Selected","0. Not selected","0. Not selected","0. Not selected","0. Not selected","1. Both parents born in the U.S.","0. None"
283,"2. Most of the time","1. Yes, voted","2. Mitt Romney","2. A lot","1. Registered",NA,"2. No, didn't vote in primary or caucus",NA,"1. Yes",NA,"2. Disapprove","2. Wrong track",NA,60,60,50,40,30,30,"3. Neither favor nor oppose","3. Neither favor nor oppose","2. Liberal","3. Neither good nor bad","2. Republicans","2. Very important","3. Allow to remain and eventually qualify for U.S. citizenship, if they meet","1. Favor","1. Very important","1. Favor","1. Waste a lot","1. Has probably been happening","2. Oppose","2. Some of the time","2. Some of the time","1. Important","1. Yes","4. A few times a year","1. Yes",63,"1. Married","5. Bachelor's degree","2. No","1. Selected","0. Not selected","0. Not selected","0. Not selected","0. Not selected","1. Both parents born in the U.S.","1. One"
284,"3. About half the time","1. Yes, voted","1. Barack Obama","3. A moderate amount","1. Registered",NA,"1. Yes, voted in primary or caucus","1. Hillary Clinton","1. Yes","1. Hillary Clinton","2. Disapprove","2. Wrong track","2. Disapprove",60,60,40,100,60,60,"3. Neither favor nor oppose","3. Neither favor nor oppose",NA,"4. Bad","3. Not much difference between them","2. Very important","1. Make all unauthorized immigrants felons and send them back to their home country.","3. Neither favor nor oppose","1. Very important","2. Oppose","1. Waste a lot","2. Probably hasn't been happening","1. Favor","1. Never","1. Never","1. Important","1. Yes","1. Every week",NA,77,"3. Divorced","1. Some high school or less","2. No","1. Selected","0. Not selected","0. Not selected","0. Not selected","0. Not selected","1. Both parents born in the U.S.","4. All"
285,"2. Most of the time","2. No, didn't vote",NA,"2. A lot","2. Not registered",NA,"2. No, didn't vote in primary or caucus",NA,"1. Yes","1. Hillary Clinton","2. Disapprove","2. Wrong track","1. Approve",96,50,96,100,70,50,"1. Favor","1. Favor","6. Conservative","3. Neither good nor bad","1. Democrats","4. Not too important","3. Allow to remain and eventually qualify for U.S. citizenship, if they meet","2. Oppose","1. Very important","2. Oppose","1. Waste a lot","1. Has probably been happening","2. Oppose","1. Never","2. Some of the time","1. Important","2. No",NA,"1. Yes",28,"5. Never married","2. High school graduate","2. No","0. Not selected","1. Selected","0. Not selected","0. Not selected","0. Not selected","1. Both parents born in the U.S.","0. None"
286,"4. Some of the time","2. No, didn't vote",NA,"4. A little","1. Registered",NA,"2. No, didn't vote in primary or caucus",NA,"1. Yes","2. Donald Trump",NA,"2. Wrong track","2. Disapprove",15,60,0,70,30,60,"2. Oppose","2. Oppose","6. Conservative","2. Good","2. Republicans","2. Very important","3. Allow to remain and eventually qualify for U.S. citizenship, if they meet","2. Oppose","4. Not at all important","1. Favor","1. Waste a lot","2. Probably hasn't been happening","1. Favor","3. About half the time","2. Some of the time","1. Important","1. Yes","4. A few times a year","2. No",27,"5. Never married","5. Bachelor's degree","2. No","1. Selected","0. Not selected","0. Not selected","0. Not selected","0. Not selected","1. Both parents born in the U.S.","0. None"
287,"1. Always","1. Yes, voted","1. Barack Obama","2. A lot","1. Registered","1. Democratic party","2. No, didn't vote in primary or caucus",NA,"1. Yes","1. Hillary Clinton","1. Approve","1. Right direction","1. Approve",85,0,100,100,85,30,"1. Favor","1. Favor","4. Moderate, middle of the road","3. Neither good nor bad","1. Democrats","2. Very important","3. Allow to remain and eventually qualify for U.S. citizenship, if they meet","2. Oppose","1. Very important",NA,"1. Waste a lot","1. Has probably been happening","1. Favor","1. Never","4. Most of the time","1. Important","1. Yes","2. Almost every week","2. No",NA,"1. Married","6. Master's degree","2. No","1. Selected","0. Not selected","0. Not selected","0. Not selected","0. Not selected","2. One parent born in the U.S.","4. All"
288,"4. Some of the time","2. No, didn't vote",NA,"4. A little","1. Registered",NA,"2. No, didn't vote in primary or caucus",NA,"1. Yes","2. Donald Trump","1. Approve","1. Right direction","1. Approve",0,40,60,50,0,40,"1. Favor","1. Favor",NA,"2. Good","2. Republicans","1. Extremely important","3. Allow to remain and eventually qualify for U.S. citizenship, if they meet","2. Oppose","1. Very important","2. Oppose","2. Waste some","1. Has probably been happening","1. Favor","2. Some of the time","2. Some of the time","1. Important","1. Yes","4. A few times a year",NA,20,"5. Never married","2. High school graduate","1. Yes","1. Selected","0. Not selected","0. Not selected","0. Not selected","0. Not selected","1. Both parents born in the U.S.","2. Two"
289,"2. Most of the time","2. No, didn't vote",NA,"2. A lot","1. Registered",NA,"2. No, didn't vote in primary or caucus",NA,"1. Yes","2. Donald Trump","2. Disapprove","2. Wrong track","2. Disapprove",0,100,0,15,15,85,"2. Oppose","2. Oppose","6. Conservative","3. Neither good nor bad","2. Republicans","3. Somewhat important","2. Have a guest worker program in order to work","1. Favor","1. Very important","2. Oppose","1. Waste a lot","1. Has probably been happening","1. Favor","2. Some of the time","1. Never","1. Important","1. Yes","3. Once or twice a month","2. No",40,"1. Married","3. Some college","2. No","1. Selected","0. Not selected","0. Not selected","0. Not selected","0. Not selected","1. Both parents born in the U.S.","0. None"
290,"4. Some of the time","1. Yes, voted","1. Barack Obama","4. A little","2. Not registered",NA,"2. No, didn't vote in primary or caucus",NA,NA,NA,NA,"2. Wrong track","2. Disapprove",30,60,60,70,60,40,"2. Oppose","2. Oppose",NA,"2. Good","1. Democrats","2. Very important","4. Allow to remain and eventually qualify for U.S. citizenship without penalties.","3. Neither favor nor oppose","1. Very important","2. Oppose","1. Waste a lot","2. Probably hasn't been happening","1. Favor","2. Some of the time","2. Some of the time","2. Not important","2. No",NA,NA,50,"1. Married","4. Associate degree","2. No","1. Selected","0. Not selected","0. Not selected","0. Not selected","0. Not selected","3. Both parents born in another country","4. All"
291,"3. About half the time","1. Yes, voted","1. Barack Obama","4. A little","1. Registered","3. None or 'independent'",NA,NA,NA,NA,"2. Disapprove","2. Wrong track","2. Disapprove",0,0,15,0,NA,NA,"2. Oppose","2. Oppose","4. Moderate, middle of the road","3. Neither good nor bad","3. Not much difference between them","1. Extremely important","1. Make all unauthorized immigrants felons and send them back to their home country.","1. Favor","1. Very important","2. Oppose","1. Waste a lot","1. Has probably been happening","1. Favor","3. About half the time",NA,"1. Important","1. Yes","2. Almost every week",NA,71,"1. Married","2. High school graduate","2. No","1. Selected","0. Not selected","0. Not selected","0. Not selected","0. Not selected","1. Both parents born in the U.S.","0. None"
292,"5. Never","2. No, didn't vote",NA,NA,"2. Not registered",NA,"2. No, didn't vote in primary or caucus",NA,NA,NA,NA,"2. Wrong track","1. Approve",100,NA,NA,75,75,NA,"1. Favor","1. Favor",NA,"3. Neither good nor bad","1. Democrats",NA,"3. Allow to remain and eventually qualify for U.S. citizenship, if they meet","2. Oppose","2. Somewhat important","2. Oppose","2. Waste some","2. Probably hasn't been happening","2. Oppose","1. Never","5. Always","1. Important","2. No",NA,NA,90,"2. Widowed","1. Some high school or less","2. No","1. Selected","0. Not selected","0. Not selected","0. Not selected","0. Not selected","1. Both parents born in the U.S.","4. All"
293,"5. Never","1. Yes, voted","1. Barack Obama","5. None at all","1. Registered","1. Democratic party","2. No, didn't vote in primary or caucus",NA,"1. Yes",NA,"2. Disapprove","1. Right direction","1. Approve",50,50,85,70,70,50,"1. Favor","1. Favor",NA,"2. Good","3. Not much difference between them","1. Extremely important","1. Make all unauthorized immigrants felons and send them back to their home country.","2. Oppose","1. Very important","2. Oppose","1. Waste a lot","1. Has probably been happening","2. Oppose","1. Never","4. Most of the time","1. Important","1. Yes","4. A few times a year","2. No",34,"5. Never married","2. High school graduate","2. No","0. Not selected","1. Selected","0. Not selected","0. Not selected","0. Not selected","1. Both parents born in the U.S.","0. None"
294,"4. Some of the time","2. No, didn't vote",NA,"4. A little","1. Registered",NA,"2. No, didn't vote in primary or caucus",NA,"1. Yes","1. Hillary Clinton","1. Approve","1. Right direction","1. Approve",85,60,85,70,60,50,"3. Neither favor nor oppose","3. Neither favor nor oppose",NA,"5. Very bad","1. Democrats","2. Very important","1. Make all unauthorized immigrants felons and send them back to their home country.","3. Neither favor nor oppose","1. Very important","3. Neither favor nor oppose","1. Waste a lot","2. Probably hasn't been happening","1. Favor","2. Some of the time","2. Some of the time","1. Important","1. Yes","1. Every week","1. Yes",49,"5. Never married","2. High school graduate","2. No","0. Not selected","1. Selected","0. Not selected","0. Not selected","0. Not selected","1. Both parents born in the U.S.","0. None"
295,"4. Some of the time","2. No, didn't vote",NA,"4. A little","1. Registered",NA,"2. No, didn't vote in primary or caucus",NA,"2. No",NA,"2. Disapprove","2. Wrong track","2. Disapprove",10,30,65,50,50,20,"2. Oppose","2. Oppose","3. Slightly liberal","2. Good","3. Not much difference between them","3. Somewhat important","3. Allow to remain and eventually qualify for U.S. citizenship, if they meet","3. Neither favor nor oppose","2. Somewhat important","1. Favor","2. Waste some","1. Has probably been happening","2. Oppose","2. Some of the time","3. About half the time","2. Not important","1. Yes","4. A few times a year","2. No",27,"5. Never married","3. Some college","2. No","1. Selected","0. Not selected","0. Not selected","0. Not selected","0. Not selected","1. Both parents born in the U.S.","0. None"
296,"4. Some of the time","2. No, didn't vote",NA,"4. A little","2. Not registered",NA,"2. No, didn't vote in primary or caucus",NA,"1. Yes","2. Donald Trump","2. Disapprove","2. Wrong track","2. Disapprove",0,70,0,0,15,70,"2. Oppose","2. Oppose","4. Moderate, middle of the road","4. Bad","2. Republicans","2. Very important","3. Allow to remain and eventually qualify for U.S. citizenship, if they meet","1. Favor","1. Very important","2. Oppose","1. Waste a lot","1. Has probably been happening","1. Favor","4. Most of the time","1. Never","1. Important","1. Yes","4. A few times a year","2. No",48,"1. Married","4. Associate degree","2. No","1. Selected","0. Not selected","0. Not selected","0. Not selected","0. Not selected","1. Both parents born in the U.S.","0. None"
297,"4. Some of the time","2. No, didn't vote",NA,"5. None at all","1. Registered",NA,"2. No, didn't vote in primary or caucus",NA,"2. No",NA,"2. Disapprove","2. Wrong track","2. Disapprove",15,15,0,15,0,50,"1. Favor","1. Favor","5. Slightly conservative","4. Bad","4. Neither party","5. Not important at all","3. Allow to remain and eventually qualify for U.S. citizenship, if they meet","2. Oppose","2. Somewhat important","2. Oppose","1. Waste a lot","1. Has probably been happening","2. Oppose","5. Always","1. Never","1. Important","2. No",NA,"2. No",49,"5. Never married","2. High school graduate","1. Yes","1. Selected","0. Not selected","0. Not selected","0. Not selected","0. Not selected","3. Both parents born in another country","4. All"
298,"3. About half the time","2. No, didn't vote",NA,"3. A moderate amount","1. Registered",NA,"2. No, didn't vote in primary or caucus",NA,"1. Yes","1. Hillary Clinton","1. Approve","1. Right direction","1. Approve",60,0,100,40,50,50,"3. Neither favor nor oppose","3. Neither favor nor oppose","3. Slightly liberal","3. Neither good nor bad","3. Not much difference between them","4. Not too important","3. Allow to remain and eventually qualify for U.S. citizenship, if they meet","2. Oppose","4. Not at all important","1. Favor","2. Waste some","1. Has probably been happening","1. Favor","1. Never","4. Most of the time","2. Not important","1. Yes","4. A few times a year","2. No",24,"5. Never married","2. High school graduate","2. No","1. Selected","0. Not selected","0. Not selected","0. Not selected","0. Not selected","2. One parent born in the U.S.","0. None"
299,"4. Some of the time","1. Yes, voted","1. Barack Obama","3. A moderate amount","1. Registered","1. Democratic party","2. No, didn't vote in primary or caucus",NA,"1. Yes","1. Hillary Clinton",NA,"1. Right direction","1. Approve",60,50,70,60,60,40,"1. Favor","1. Favor",NA,"3. Neither good nor bad","3. Not much difference between them","2. Very important","4. Allow to remain and eventually qualify for U.S. citizenship without penalties.","2. Oppose","1. Very important","1. Favor","2. Waste some","1. Has probably been happening","2. Oppose","1. Never","3. About half the time","1. Important","1. Yes","3. Once or twice a month","2. No",56,"1. Married","1. Some high school or less","1. Yes",NA,NA,NA,NA,NA,"1. Both parents born in the U.S.","4. All"
300,"1. Always","1. Yes, voted","1. Barack Obama","1. A great deal","1. Registered","1. Democratic party","1. Yes, voted in primary or caucus","1. Hillary Clinton","1. Yes","1. Hillary Clinton","2. Disapprove","1. Right direction","1. Approve",100,0,100,85,100,0,"1. Favor","1. Favor","3. Slightly liberal","2. Good","1. Democrats","1. Extremely important","4. Allow to remain and eventually qualify for U.S. citizenship without penalties.","2. Oppose","1. Very important","1. Favor","1. Waste a lot","1. Has probably been happening","2. Oppose","1. Never","5. Always","1. Important","1. Yes","1. Every week","1. Yes",78,"1. Married","2. High school graduate","2. No","1. Selected","0. Not selected","0. Not selected","0. Not selected","0. Not selected","1. Both parents born in the U.S.","0. None"
301,"1. Always","1. Yes, voted","1. Barack Obama","2. A lot","1. Registered","2. Republican party","2. No, didn't vote in primary or caucus",NA,"1. Yes","2. Donald Trump","2. Disapprove","2. Wrong track","1. Approve",15,40,50,70,30,30,"2. Oppose","2. Oppose","5. Slightly conservative","2. Good","3. Not much difference between them","1. Extremely important","3. Allow to remain and eventually qualify for U.S. citizenship, if they meet","3. Neither favor nor oppose","2. Somewhat important","1. Favor","1. Waste a lot","1. Has probably been happening","1. Favor","3. About half the time","2. Some of the time","1. Important","1. Yes","4. A few times a year","2. No",24,"5. Never married","3. Some college","2. No","1. Selected","0. Not selected","0. Not selected","0. Not selected","0. Not selected","1. Both parents born in the U.S.","1. One"
302,"3. About half the time","2. No, didn't vote",NA,"1. A great deal","1. Registered","2. Republican party","2. No, didn't vote in primary or caucus",NA,"1. Yes","2. Donald Trump","2. Disapprove","2. Wrong track","2. Disapprove",0,100,15,15,0,100,"3. Neither favor nor oppose","3. Neither favor nor oppose","6. Conservative","4. Bad","2. Republicans","3. Somewhat important","3. Allow to remain and eventually qualify for U.S. citizenship, if they meet","1. Favor","1. Very important","2. Oppose","1. Waste a lot","1. Has probably been happening","2. Oppose","2. Some of the time","1. Never","1. Important","1. Yes","2. Almost every week",NA,63,"3. Divorced","4. Associate degree","1. Yes","1. Selected","0. Not selected","0. Not selected","0. Not selected","0. Not selected","1. Both parents born in the U.S.","1. One"
303,"1. Always","1. Yes, voted","1. Barack Obama","1. A great deal","1. Registered",NA,"1. Yes, voted in primary or caucus","1. Hillary Clinton","1. Yes","1. Hillary Clinton","2. Disapprove","2. Wrong track","1. Approve",85,0,100,100,100,0,"1. Favor","1. Favor","1. Extremely liberal","2. Good","1. Democrats","4. Not too important","4. Allow to remain and eventually qualify for U.S. citizenship without penalties.","2. Oppose","3. Not very important","1. Favor","1. Waste a lot","1. Has probably been happening","1. Favor","1. Never","4. Most of the time","1. Important","1. Yes","3. Once or twice a month",NA,71,"3. Divorced","5. Bachelor's degree","1. Yes","1. Selected","0. Not selected","0. Not selected","0. Not selected","0. Not selected","1. Both parents born in the U.S.","2. Two"
304,"2. Most of the time","1. Yes, voted","3. Other","3. A moderate amount","1. Registered",NA,"1. Yes, voted in primary or caucus","6. John Kasich","1. Yes","3. Gary Johnson","2. Disapprove","2. Wrong track","2. Disapprove",15,40,40,40,40,40,"2. Oppose","2. Oppose","4. Moderate, middle of the road","3. Neither good nor bad","3. Not much difference between them","3. Somewhat important","3. Allow to remain and eventually qualify for U.S. citizenship, if they meet","3. Neither favor nor oppose","2. Somewhat important","3. Neither favor nor oppose","1. Waste a lot","1. Has probably been happening","1. Favor","2. Some of the time","2. Some of the time","2. Not important","1. Yes","4. A few times a year","2. No",44,"1. Married","3. Some college","2. No","1. Selected","0. Not selected","0. Not selected","0. Not selected","0. Not selected","1. Both parents born in the U.S.","0. None"
